Category,HCPCS,Short Descriptor,ID,ID Definition
Medical Services,10021,Fna w/o image,1,Billed with CG modifier
Medical Services,10040,Acne surgery,1,Billed with CG modifier
Medical Services,10060,Drainage of skin abscess,1,Billed with CG modifier
Medical Services,10061,Drainage of skin abscess,1,Billed with CG modifier
Medical Services,10080,Drainage of pilonidal cyst,1,Billed with CG modifier
Medical Services,10081,Drainage of pilonidal cyst,1,Billed with CG modifier
Medical Services,10120,Remove foreign body,1,Billed with CG modifier
Medical Services,10121,Remove foreign body,1,Billed with CG modifier
Medical Services,10140,Drainage of hematoma/fluid,1,Billed with CG modifier
Medical Services,10160,Puncture drainage of lesion,1,Billed with CG modifier
Medical Services,11000,Debride infected skin,1,Billed with CG modifier
Medical Services,11010,Debride skin at fx site,1,Billed with CG modifier
Medical Services,11011,Debride skin musc at fx site,1,Billed with CG modifier
Medical Services,11042,Deb subq tissue 20 sq cm/<,1,Billed with CG modifier
Medical Services,11055,Trim skin lesion,1,Billed with CG modifier
Medical Services,11056,Trim skin lesions 2 to 4,1,Billed with CG modifier
Medical Services,11057,Trim skin lesions over 4,1,Billed with CG modifier
Medical Services,11100,Biopsy skin lesion,1,Billed with CG modifier
Medical Services,11200,Removal of skin tags <w/15,1,Billed with CG modifier
Medical Services,11300,Shave skin lesion 0.5 cm/<,1,Billed with CG modifier
Medical Services,11301,Shave skin lesion 0.6-1.0 cm,1,Billed with CG modifier
Medical Services,11302,Shave skin lesion 1.1-2.0 cm,1,Billed with CG modifier
Medical Services,11303,Shave skin lesion >2.0 cm,1,Billed with CG modifier
Medical Services,11305,Shave skin lesion 0.5 cm/<,1,Billed with CG modifier
Medical Services,11306,Shave skin lesion 0.6-1.0 cm,1,Billed with CG modifier
Medical Services,11307,Shave skin lesion 1.1-2.0 cm,1,Billed with CG modifier
Medical Services,11308,Shave skin lesion >2.0 cm,1,Billed with CG modifier
Medical Services,11310,Shave skin lesion 0.5 cm/<,1,Billed with CG modifier
Medical Services,11311,Shave skin lesion 0.6-1.0 cm,1,Billed with CG modifier
Medical Services,11312,Shave skin lesion 1.1-2.0 cm,1,Billed with CG modifier
Medical Services,11313,Shave skin lesion >2.0 cm,1,Billed with CG modifier
Medical Services,11400,Exc tr-ext b9+marg 0.5 cm<,1,Billed with CG modifier
Medical Services,11401,Exc tr-ext b9+marg 0.6-1 cm,1,Billed with CG modifier
Medical Services,11402,Exc tr-ext b9+marg 1.1-2 cm,1,Billed with CG modifier
Medical Services,11403,Exc tr-ext b9+marg 2.1-3cm/<,1,Billed with CG modifier
Medical Services,11404,Exc tr-ext b9+marg 3.1-4 cm,1,Billed with CG modifier
Medical Services,11406,Exc tr-ext b9+marg >4.0 cm,1,Billed with CG modifier
Medical Services,11420,Exc h-f-nk-sp b9+marg 0.5/<,1,Billed with CG modifier
Medical Services,11421,Exc h-f-nk-sp b9+marg 0.6-1,1,Billed with CG modifier
Medical Services,11422,Exc h-f-nk-sp b9+marg 1.1-2,1,Billed with CG modifier
Medical Services,11423,Exc h-f-nk-sp b9+marg 2.1-3,1,Billed with CG modifier
Medical Services,11424,Exc h-f-nk-sp b9+marg 3.1-4,1,Billed with CG modifier
Medical Services,11426,Exc h-f-nk-sp b9+marg >4 cm,1,Billed with CG modifier
Medical Services,11440,Exc face-mm b9+marg 0.5 cm/<,1,Billed with CG modifier
Medical Services,11441,Exc face-mm b9+marg 0.6-1 cm,1,Billed with CG modifier
Medical Services,11442,Exc face-mm b9+marg 1.1-2 cm,1,Billed with CG modifier
Medical Services,11443,Exc face-mm b9+marg 2.1-3 cm,1,Billed with CG modifier
Medical Services,11444,Exc face-mm b9+marg 3.1-4 cm,1,Billed with CG modifier
Medical Services,11446,Exc face-mm b9+marg >4 cm,1,Billed with CG modifier
Medical Services,11450,Removal sweat gland lesion,1,Billed with CG modifier
Medical Services,11600,Exc tr-ext mal+marg 0.5 cm/<,1,Billed with CG modifier
Medical Services,11601,Exc tr-ext mal+marg 0.6-1 cm,1,Billed with CG modifier
Medical Services,11602,Exc tr-ext mal+marg 1.1-2 cm,1,Billed with CG modifier
Medical Services,11603,Exc tr-ext mal+marg 2.1-3 cm,1,Billed with CG modifier
Medical Services,11604,Exc tr-ext mal+marg 3.1-4 cm,1,Billed with CG modifier
Medical Services,11606,Exc tr-ext mal+marg >4 cm,1,Billed with CG modifier
Medical Services,11620,Exc h-f-nk-sp mal+marg 0.5/<,1,Billed with CG modifier
Medical Services,11621,Exc s/n/h/f/g mal+mrg 0.6-1,1,Billed with CG modifier
Medical Services,11622,Exc s/n/h/f/g mal+mrg 1.1-2,1,Billed with CG modifier
Medical Services,11623,Exc s/n/h/f/g mal+mrg 2.1-3,1,Billed with CG modifier
Medical Services,11624,Exc s/n/h/f/g mal+mrg 3.1-4,1,Billed with CG modifier
Medical Services,11626,Exc s/n/h/f/g mal+mrg >4 cm,1,Billed with CG modifier
Medical Services,11640,Exc f/e/e/n/l mal+mrg 0.5cm<,1,Billed with CG modifier
Medical Services,11641,Exc f/e/e/n/l mal+mrg 0.6-1,1,Billed with CG modifier
Medical Services,11642,Exc f/e/e/n/l mal+mrg 1.1-2,1,Billed with CG modifier
